year,type,count
2045,SIZE_2_INC_HIGH,41454
2045,SIZE_3_INC_HIGH,5295
2045,SIZE_4_INC_HIGH,3405
2045,SIZE_1_INC_VERY_HIGH,1992
2045,SIZE_2_INC_VERY_HIGH,59033
2045,SIZE_3_INC_VERY_HIGH,41512
2045,SIZE_4_INC_VERY_HIGH,35632
2046,SIZE_1_INC_LOW,19393
2046,SIZE_2_INC_LOW,219
2046,SIZE_3_INC_LOW,51
2046,SIZE_4_INC_LOW,7
2046,SIZE_1_INC_MEDIUM,93341
2046,SIZE_2_INC_MEDIUM,8146
2046,SIZE_3_INC_MEDIUM,971
2046,SIZE_4_INC_MEDIUM,207
2046,SIZE_1_INC_HIGH,24209
2046,SIZE_2_INC_HIGH,41089
2046,SIZE_3_INC_HIGH,5203
2046,SIZE_4_INC_HIGH,3309
2046,SIZE_1_INC_VERY_HIGH,2073
2046,SIZE_2_INC_VERY_HIGH,58397
2046,SIZE_3_INC_VERY_HIGH,40814
2046,SIZE_4_INC_VERY_HIGH,34969
2047,SIZE_1_INC_LOW,19426
2047,SIZE_2_INC_LOW,223
2047,SIZE_3_INC_LOW,48
2047,SIZE_4_INC_LOW,5
2047,SIZE_1_INC_MEDIUM,93345
2047,SIZE_2_INC_MEDIUM,8048
2047,SIZE_3_INC_MEDIUM,949
2047,SIZE_4_INC_MEDIUM,206
2047,SIZE_1_INC_HIGH,24015
2047,SIZE_2_INC_HIGH,40536
2047,SIZE_3_INC_HIGH,5087
2047,SIZE_4_INC_HIGH,3198
2047,SIZE_1_INC_VERY_HIGH,2158
2047,SIZE_2_INC_VERY_HIGH,57966
2047,SIZE_3_INC_VERY_HIGH,40296
2047,SIZE_4_INC_VERY_HIGH,34271
2048,SIZE_1_INC_LOW,19574
2048,SIZE_2_INC_LOW,207
2048,SIZE_3_INC_LOW,46
2048,SIZE_4_INC_LOW,4
2048,SIZE_1_INC_MEDIUM,93110
2048,SIZE_2_INC_MEDIUM,7986
2048,SIZE_3_INC_MEDIUM,908
2048,SIZE_4_INC_MEDIUM,192
2048,SIZE_1_INC_HIGH,23967
2048,SIZE_2_INC_HIGH,40097
2048,SIZE_3_INC_HIGH,4882
2048,SIZE_4_INC_HIGH,3107
2048,SIZE_1_INC_VERY_HIGH,2247
2048,SIZE_2_INC_VERY_HIGH,57299
2048,SIZE_3_INC_VERY_HIGH,39768
2048,SIZE_4_INC_VERY_HIGH,33648
2049,SIZE_1_INC_LOW,19588
2049,SIZE_2_INC_LOW,207
2049,SIZE_3_INC_LOW,40
2049,SIZE_4_INC_LOW,6
2049,SIZE_1_INC_MEDIUM,92939
2049,SIZE_2_INC_MEDIUM,7937
2049,SIZE_3_INC_MEDIUM,903
2049,SIZE_4_INC_MEDIUM,184
