year,age,men,women
2021,83,3550,4564
2021,84,2334,4160
2021,85,2007,3525
2021,86,2090,3202
2021,87,1971,3685
2021,88,1695,3404
2021,89,1325,2640
2021,90,942,2152
2021,91,1067,2069
2021,92,743,1648
2021,93,555,1281
2021,94,440,1080
2021,95,283,778
2021,96,213,606
2021,97,111,363
2021,98,98,310
2021,99,47,204
2021,100,60,340
2022,0,2217,2075
2022,1,2336,2137
2022,2,2215,2207
2022,3,2314,2094
2022,4,2246,2290
2022,5,2423,2337
2022,6,2503,2404
2022,7,2567,2410
2022,8,2509,2488
2022,9,2727,2522
2022,10,2738,2534
2022,11,2786,2563
2022,12,2823,2673
2022,13,4422,4175
2022,14,3663,3936
2022,15,3162,2546
2022,16,1865,1827
2022,17,1961,1626
2022,18,1630,1914
2022,19,2046,2032
2022,20,2551,2478
2022,21,2040,2529
2022,22,2633,2728
2022,23,4515,4598
2022,24,4493,4611
2022,25,4736,5433
2022,26,5114,5403
2022,27,5688,5840
2022,28,5274,5523
2022,29,5067,4992
2022,30,5488,5376
2022,31,4328,4464
2022,32,3083,3082
2022,33,3433,4655
2022,34,3780,4239
2022,35,3758,4116
2022,36,4239,4137
2022,37,5014,5108
2022,38,4635,5392
2022,39,5755,4682
2022,40,4842,4627
2022,41,4690,5710
2022,42,4460,5990
2022,43,5294,6421
2022,44,5307,5318
2022,45,6244,6124
2022,46,6239,7096
2022,47,6109,7532
2022,48,6004,7616
2022,49,7750,7291
2022,50,7382,6759
2022,51,7289,7820
2022,52,6992,8591
2022,53,6202,6664
2022,54,5579,6406
2022,55,5783,6827
2022,56,5530,6991
2022,57,5540,6321
2022,58,5677,6398
2022,59,4221,4614
2022,60,5797,6957
2022,61,5306,6812
2022,62,4867,5743
2022,63,5281,5385
2022,64,5259,5902
2022,65,5074,6219
2022,66,5539,7279
2022,67,5409,6762
2022,68,5529,6729
2022,69,5577,6816
2022,70,5415,7493
2022,71,5514,6747
2022,72,6055,6405
2022,73,5288,7463
